date,municipality,total_cases,active_cases,new_cases
5/19/2020,Mamaroneck Village,376,18,0
5/19/2020,Mount Kisco,271,35,5
5/19/2020,Mount Pleasant,552,21,5
5/19/2020,Mount Vernon,2606,142,15
5/19/2020,New Castle,174,9,0
5/19/2020,New Rochelle,2844,175,12
5/19/2020,North Castle,192,8,2
5/19/2020,North Salem,118,14,0
5/19/2020,Ossining Town,148,7,1
5/19/2020,Ossining Village,1013,66,11
5/19/2020,Peekskill,869,108,8
5/19/2020,Pelham,162,4,0
5/19/2020,Pelham Manor,102,1,0
5/19/2020,Pleasantville,115,8,1
5/19/2020,Port Chester,1169,121,6
5/19/2020,Pound Ridge,26,1,0
5/19/2020,Rye Brook,175,12,1
5/19/2020,Rye City,196,18,10
5/19/2020,Scarsdale,350,5,2
5/19/2020,Sleepy Hollow,366,32,4
5/19/2020,Somers,265,54,2
5/19/2020,Tarrytown,269,11,0
5/19/2020,Tuckahoe,128,2,0
5/19/2020,White Plains,1720,107,9
5/19/2020,Yonkers,6692,338,33
5/19/2020,Yorktown,588,37,5
5/19/2020,Totals,25852,1629,159
5/19/2020,Unknown,1543,NA,NA
5/20/2020,Ardsley,91,6,0
5/20/2020,Bedford,234,13,2
5/20/2020,Briarcliff Manor,91,6,1
5/20/2020,Bronxville,62,0,0
5/20/2020,Buchanan,34,2,0
5/20/2020,Cortlandt,770,56,6
5/20/2020,Croton-on-Hudson,167,11,2
5/20/2020,Dobbs Ferry,293,35,0
5/20/2020,Eastchester,443,22,0
5/20/2020,Elmsford,196,19,0
5/20/2020,Greenburgh,1094,35,0
5/20/2020,Harrison,385,25,0
5/20/2020,Hastings-on-Hudson,114,4,0
5/20/2020,Irvington,78,2,0
5/20/2020,Larchmont,64,3,0
5/20/2020,Lewisboro,95,2,0
5/20/2020,Mamaroneck Town,166,3,0
5/20/2020,Mamaroneck Village,378,18,2
5/20/2020,Mount Kisco,271,29,0
5/20/2020,Mount Pleasant,553,21,1
5/20/2020,Mount Vernon,2611,124,5
5/20/2020,New Castle,174,9,0
5/20/2020,New Rochelle,2852,161,8
5/20/2020,North Castle,192,5,0
5/20/2020,North Salem,121,8,3
5/20/2020,Ossining Town,149,5,1
5/20/2020,Ossining Village,1017,56,4
5/20/2020,Peekskill,883,105,14
5/20/2020,Pelham,162,3,0
5/20/2020,Pelham Manor,102,1,0
5/20/2020,Pleasantville,115,8,0
5/20/2020,Port Chester,1170,101,1
5/20/2020,Pound Ridge,26,0,0
5/20/2020,Rye Brook,176,13,1
5/20/2020,Rye City,198,19,2
5/20/2020,Scarsdale,350,5,0
5/20/2020,Sleepy Hollow,366,28,0
5/20/2020,Somers,298,81,33
5/20/2020,Tarrytown,270,11,1
5/20/2020,Tuckahoe,128,2,0
5/20/2020,White Plains,1723,95,3
5/20/2020,Yonkers,6705,302,13
5/20/2020,Yorktown,600,46,12
5/20/2020,Totals,25967,1500,115
5/20/2020,Unknown,1573,NA,NA
5/21/2020,Ardsley,92,7,4
5/21/2020,Bedford,232,11,0
5/21/2020,Briarcliff Manor,92,6,2
5/21/2020,Bronxville,62,0,0
5/21/2020,Buchanan,33,1,0
5/21/2020,Cortlandt,762,47,0
5/21/2020,Croton-on-Hudson,166,10,0
5/21/2020,Dobbs Ferry,293,35,0
5/21/2020,Eastchester,439,15,1
5/21/2020,Elmsford,193,13,1
5/21/2020,Greenburgh,1085,30,1
5/21/2020,Harrison,383,18,1
5/21/2020,Hastings-on-Hudson,115,5,1
5/21/2020,Irvington,78,2,0
5/21/2020,Larchmont,64,0,0
5/21/2020,Lewisboro,94,1,0
5/21/2020,Mamaroneck Town,165,3,0
5/21/2020,Mamaroneck Village,373,11,0
5/21/2020,Mount Kisco,266,22,0
5/21/2020,Mount Pleasant,549,17,0
5/21/2020,Mount Vernon,2580,99,3
5/21/2020,New Castle,174,9,0
5/21/2020,New Rochelle,2818,127,1
5/21/2020,North Castle,191,4,0
5/21/2020,North Salem,124,11,4
5/21/2020,Ossining Town,147,2,0
5/21/2020,Ossining Village,1002,44,1
5/21/2020,Peekskill,873,88,1
5/21/2020,Pelham,157,1,0
5/21/2020,Pelham Manor,102,1,NA
5/21/2020,Pleasantville,115,8,0
5/21/2020,Port Chester,1163,91,1
5/21/2020,Pound Ridge,26,0,0
5/21/2020,Rye Brook,173,12,0
5/21/2020,Rye City,198,17,1
5/21/2020,Scarsdale,347,4,0
5/21/2020,Sleepy Hollow,362,22,1
5/21/2020,Somers,294,77,0
5/21/2020,Tarrytown,269,8,0
5/21/2020,Tuckahoe,128,1,1
5/21/2020,White Plains,1703,75,1
5/21/2020,Yonkers,6643,237,5
