date,municipality,metric,cases
2020-05-01,Pelham,new,NA
2020-05-01,Pelham Manor,total,83
2020-05-01,Pelham Manor,active,NA
2020-05-01,Pelham Manor,new,NA
2020-05-01,Pleasantville,total,89
2020-05-01,Pleasantville,active,NA
2020-05-01,Pleasantville,new,NA
2020-05-01,Port Chester,total,921
2020-05-01,Port Chester,active,NA
2020-05-01,Port Chester,new,NA
2020-05-01,Pound Ridge,total,23
2020-05-01,Pound Ridge,active,NA
2020-05-01,Pound Ridge,new,NA
2020-05-01,Rye Brook,total,151
2020-05-01,Rye Brook,active,NA
2020-05-01,Rye Brook,new,NA
2020-05-01,Rye City,total,149
2020-05-01,Rye City,active,NA
2020-05-01,Rye City,new,NA
2020-05-01,Scarsdale,total,318
2020-05-01,Scarsdale,active,NA
2020-05-01,Scarsdale,new,NA
2020-05-01,Sleepy Hollow,total,298
2020-05-01,Sleepy Hollow,active,NA
2020-05-01,Sleepy Hollow,new,NA
2020-05-01,Somers,total,171
2020-05-01,Somers,active,NA
2020-05-01,Somers,new,NA
2020-05-01,Tarrytown,total,223
2020-05-01,Tarrytown,active,NA
2020-05-01,Tarrytown,new,NA
2020-05-01,Tuckahoe,total,109
2020-05-01,Tuckahoe,active,NA
2020-05-01,Tuckahoe,new,NA
2020-05-01,White Plains,total,1355
2020-05-01,White Plains,active,NA
2020-05-01,White Plains,new,NA
2020-05-01,Yonkers,total,5252
2020-05-01,Yonkers,active,NA
2020-05-01,Yonkers,new,NA
2020-05-01,Yorktown,total,454
2020-05-01,Yorktown,active,NA
2020-05-01,Yorktown,new,NA
2020-05-01,Totals,total,20417
2020-05-01,Totals,active,NA
2020-05-01,Totals,new,NA
2020-05-05,Ardsley,total,95
2020-05-05,Ardsley,active,15
2020-05-05,Ardsley,new,3
2020-05-05,Bedford,total,262
2020-05-05,Bedford,active,73
2020-05-05,Bedford,new,4
2020-05-05,Briarcliff Manor,total,98
2020-05-05,Briarcliff Manor,active,21
2020-05-05,Briarcliff Manor,new,5
2020-05-05,Bronxville,total,70
2020-05-05,Bronxville,active,12
2020-05-05,Bronxville,new,2
2020-05-05,Buchanan,total,37
2020-05-05,Buchanan,active,9
2020-05-05,Buchanan,new,0
2020-05-05,Cortlandt,total,726
2020-05-05,Cortlandt,active,201
2020-05-05,Cortlandt,new,12
2020-05-05,Croton-on-Hudson,total,161
2020-05-05,Croton-on-Hudson,active,36
2020-05-05,Croton-on-Hudson,new,3
2020-05-05,Dobbs Ferry,total,266
2020-05-05,Dobbs Ferry,active,54
2020-05-05,Dobbs Ferry,new,2
2020-05-05,Eastchester,total,444
2020-05-05,Eastchester,active,67
2020-05-05,Eastchester,new,8
2020-05-05,Elmsford,total,188
2020-05-05,Elmsford,active,37
2020-05-05,Elmsford,new,2
