date,metric,value
2020-08-29,new_cases,32
2020-08-29,new_deaths,0
2020-08-30,total_cases,36948
2020-08-30,total_deaths,1451
2020-08-30,new_cases,54
2020-08-30,new_deaths,1
2020-08-31,total_cases,36983
2020-08-31,total_deaths,1452
2020-08-31,new_cases,35
2020-08-31,new_deaths,1
2020-09-01,total_cases,37020
2020-09-01,total_deaths,1452
2020-09-01,new_cases,37
2020-09-01,new_deaths,0
2020-09-02,total_cases,37056
2020-09-02,total_deaths,1452
2020-09-02,new_cases,36
2020-09-02,new_deaths,0
2020-09-03,total_cases,37105
2020-09-03,total_deaths,1452
2020-09-03,new_cases,49
2020-09-03,new_deaths,0
2020-09-04,total_cases,37151
2020-09-04,total_deaths,1452
2020-09-04,new_cases,46
2020-09-04,new_deaths,0
2020-09-05,total_cases,37204
2020-09-05,total_deaths,1452
2020-09-05,new_cases,53
2020-09-05,new_deaths,0
2020-09-06,total_cases,37245
2020-09-06,total_deaths,1452
2020-09-06,new_cases,41
2020-09-06,new_deaths,0
2020-09-07,total_cases,37276
2020-09-07,total_deaths,1452
2020-09-07,new_cases,31
2020-09-07,new_deaths,0
2020-09-08,total_cases,37313
2020-09-08,total_deaths,1452
2020-09-08,new_cases,37
2020-09-08,new_deaths,0
2020-09-09,total_cases,37354
2020-09-09,total_deaths,1452
2020-09-09,new_cases,41
2020-09-09,new_deaths,0
2020-09-10,total_cases,37404
2020-09-10,total_deaths,1452
2020-09-10,new_cases,50
2020-09-10,new_deaths,0
2020-09-11,total_cases,37453
2020-09-11,total_deaths,1452
2020-09-11,new_cases,49
2020-09-11,new_deaths,0
2020-09-12,total_cases,37485
2020-09-12,total_deaths,1452
2020-09-12,new_cases,32
2020-09-12,new_deaths,0
2020-09-13,total_cases,37530
2020-09-13,total_deaths,1452
2020-09-13,new_cases,45
2020-09-13,new_deaths,0
2020-09-14,total_cases,37570
2020-09-14,total_deaths,1453
2020-09-14,new_cases,40
2020-09-14,new_deaths,1
2020-09-15,total_cases,37600
2020-09-15,total_deaths,1453
2020-09-15,new_cases,30
2020-09-15,new_deaths,0
2020-09-16,total_cases,37633
2020-09-16,total_deaths,1454
2020-09-16,new_cases,33
2020-09-16,new_deaths,1
2020-09-17,total_cases,37671
2020-09-17,total_deaths,1454
2020-09-17,new_cases,38
2020-09-17,new_deaths,0
2020-09-18,total_cases,37717
2020-09-18,total_deaths,1454
2020-09-18,new_cases,46
2020-09-18,new_deaths,0
2020-09-19,total_cases,37754
2020-09-19,total_deaths,1454
2020-09-19,new_cases,37
2020-09-19,new_deaths,0
2020-09-20,total_cases,37800
2020-09-20,total_deaths,1454
2020-09-20,new_cases,46
2020-09-20,new_deaths,0
2020-09-21,total_cases,37836
2020-09-21,total_deaths,1454
2020-09-21,new_cases,36
2020-09-21,new_deaths,0
2020-09-22,total_cases,37865
2020-09-22,total_deaths,1454
2020-09-22,new_cases,29
2020-09-22,new_deaths,0
2020-09-23,total_cases,37902
2020-09-23,total_deaths,1455
2020-09-23,new_cases,37
2020-09-23,new_deaths,1
2020-09-24,total_cases,37947
2020-09-24,total_deaths,1455
2020-09-24,new_cases,45
2020-09-24,new_deaths,0
2020-09-25,total_cases,38000
2020-09-25,total_deaths,1456
2020-09-25,new_cases,53
2020-09-25,new_deaths,1
2020-09-26,total_cases,38050
2020-09-26,total_deaths,1456
2020-09-26,new_cases,50
2020-09-26,new_deaths,0
2020-09-27,total_cases,38097
2020-09-27,total_deaths,1456
2020-09-27,new_cases,47
2020-09-27,new_deaths,0
2020-09-28,total_cases,38132
2020-09-28,total_deaths,1456
2020-09-28,new_cases,35
2020-09-28,new_deaths,0
2020-09-29,total_cases,38181
2020-09-29,total_deaths,1456
2020-09-29,new_cases,49
2020-09-29,new_deaths,0
2020-09-30,total_cases,38238
2020-09-30,total_deaths,1456
2020-09-30,new_cases,57
2020-09-30,new_deaths,0
2020-10-01,total_cases,38299
2020-10-01,total_deaths,1456
2020-10-01,new_cases,61
2020-10-01,new_deaths,0
2020-10-02,total_cases,38345
