date,municipality,total_cases,active_cases,new_cases
2020-05-13,Sleepy Hollow,356,35,6
2020-05-13,Somers,227,39,3
2020-05-13,Tarrytown,268,22,0
2020-05-13,Tuckahoe,127,3,0
2020-05-13,White Plains,1671,147,4
2020-05-13,Yonkers,6565,526,43
2020-05-13,Yorktown,566,32,2
2020-05-13,Totals,25192,2234,173
2020-05-14,Ardsley,89,5,0
2020-05-14,Bedford,229,20,0
2020-05-14,Briarcliff Manor,88,9,0
2020-05-14,Bronxville,62,1,0
2020-05-14,Buchanan,34,2,0
2020-05-14,Cortlandt,737,93,1
2020-05-14,Croton-on-Hudson,158,9,2
2020-05-14,Dobbs Ferry,293,47,0
2020-05-14,Eastchester,435,31,1
2020-05-14,Elmsford,189,28,0
2020-05-14,Greenburgh,1074,70,2
2020-05-14,Harrison,376,24,0
2020-05-14,Hastings-on-Hudson,110,2,0
2020-05-14,Irvington,77,2,0
2020-05-14,Larchmont,64,4,0
2020-05-14,Lewisboro,94,12,1
2020-05-14,Mamaroneck Town,166,9,1
2020-05-14,Mamaroneck Village,370,34,1
2020-05-14,Mount Kisco,254,36,2
2020-05-14,Mount Pleasant,541,22,0
2020-05-14,Mount Vernon,2558,192,0
2020-05-14,New Castle,167,6,0
2020-05-14,New Rochelle,2788,187,3
2020-05-14,North Castle,188,12,0
2020-05-14,North Salem,115,20,0
2020-05-14,Ossining Town,146,9,0
2020-05-14,Ossining Village,986,95,2
2020-05-14,Peekskill,830,128,5
2020-05-14,Pelham,162,9,0
2020-05-14,Pelham Manor,102,1,0
2020-05-14,Pleasantville,109,5,0
2020-05-14,Port Chester,1113,135,0
2020-05-14,Pound Ridge,26,1,0
2020-05-14,Rye Brook,171,12,0
2020-05-14,Rye City,185,10,0
2020-05-14,Scarsdale,347,5,0
2020-05-14,Sleepy Hollow,356,31,0
2020-05-14,Somers,227,36,0
2020-05-14,Tarrytown,268,22,0
2020-05-14,Tuckahoe,127,3,0
2020-05-14,White Plains,1672,128,1
2020-05-14,Yonkers,6576,469,11
2020-05-14,Yorktown,567,28,1
2020-05-14,Totals,25226,2004,34
2020-05-18,Ardsley,90,6,0
2020-05-18,Bedford,232,14,1
2020-05-18,Briarcliff Manor,88,7,0
2020-05-18,Bronxville,62,1,0
2020-05-18,Buchanan,34,2,0
2020-05-18,Cortlandt,752,58,4
2020-05-18,Croton-on-Hudson,163,11,1
